year,suburb,OffenceCount
2012,Abbeyard,0.002
2012,Abbotsford,0.904
2012,Aberfeldie,0.122
2012,Acheron,0.001
2012,Adams Estate,0.003
2012,Addington,0.005
2012,Adelaide Lead,0.003
2012,Agnes,0.008
2012,Aireys Inlet,0.047
2012,Airly,0.002
2012,Airport West,0.796
2012,Albacutya,0.007
2012,Albanvale,0.339
2012,Albert Park,0.503
2012,Alberton,0.012
2012,Alberton West,0.011
2012,Albion,0.555
2012,Alexandra,0.127
2012,Alfredton,0.312
2012,Allambee,0.001
2012,Allambee Reserve,0.001
2012,Allans Flat,0.003
2012,Allansford,0.029
2012,Allendale,0.004
2012,Allestree,0.004
2012,Alma,0.003
2012,Almurta,0.001
2012,Alphington,0.263
2012,Altona,0.899
2012,Altona Meadows,0.983
2012,Altona North,1.112
2012,Alvie,0.004
2012,Amor,0.001
2012,Amphitheatre,0.004
2012,Anakie,0.024
2012,Ancona,0.003
2012,Anderson,0.012
2012,Anglers Rest,0.003
2012,Anglesea,0.123
2012,Annuello,0.001
2012,Antwerp,0.001
2012,Apollo Bay,0.127
2012,Appin South,0.001
2012,Apsley,0.01
2012,Ararat,0.974
2012,Arawata,0.003
2012,Arcadia,0.007
2012,Arcadia South,0.002
2012,Archdale,0.002
2012,Archies Creek,0.005
2012,Ardeer,0.535
2012,Ardmona,0.024
2012,Argyle,0.003
2012,Armadale,0.44
2012,Armstrong,0.001
2012,Armstrong Creek,0.009
2012,Arnold,0.004
2012,Arthurs Creek,0.01
2012,Arthurs Seat,0.006
2012,Ascot,0.037
2012,Ascot Vale,1.464
2012,Ashbourne,0.004
2012,Ashburton,0.324
2012,Ashwood,0.264
2012,Aspendale,0.301
2012,Aspendale Gardens,0.187
2012,Athlone,0.002
2012,Attwood,0.081
2012,Avalon,0.021
2012,Avenel,0.027
2012,Avoca,0.025
2012,Avondale Heights,0.419
2012,Avonmore,0.001
2012,Avonsleigh,0.031
2012,Axe Creek,0.003
2012,Axedale,0.01
2012,Ayrford,0.001
2012,Bacchus Marsh,0.665
2012,Baddaginnie,0.016
2012,Badger Creek,0.017
2012,Bael Bael,0.001
2012,Bagshot,0.005
2012,Bagshot North,0.001
2012,Bahgallah,0.002
2012,Bailieston,0.003
2012,Bairnsdale,1.157
2012,Bakery Hill,0.119
2012,Balaclava,0.488
2012,Bald Hills,0.002
2012,Balintore,0.006
2012,Ballan,0.144
2012,Ballangeich,0.001
2012,Ballarat Central,3.04
2012,Ballarat East,0.498
2012,Ballarat North,0.192
2012,Ballendella,0.001
2012,Balliang,0.01
2012,Balliang East,0.008
2012,Ballyrogan,0.001
2012,Balmattum,0.004
2012,Balmoral,0.011
2012,Balnarring,0.092
2012,Balnarring Beach,0.003
2012,Balook,0.002
2012,Balwyn,0.445
2012,Balwyn North,0.531
2012,Bamawm,0.014
2012,Bamawm Extension,0.002
2012,Bambra,0.006
2012,Bamganie,0.001
2012,Bandiana,0.015
2012,Bangholme,0.03
2012,Bannerton,0.004
2012,Bannockburn,0.066
2012,Baranduda,0.04
2012,Barfold,0.007
2012,Baringhup,0.006
2012,Barjarg,0.004
2012,Barkers Creek,0.006
2012,Barkly,0.001
2012,Barmah,0.015
2012,Barnadown,0.002
2012,Barnawartha,0.04
2012,Barnawartha North,0.017
2012,Baromi,0.003
2012,Barongarook,0.01
2012,Barongarook West,0.005
2012,Barrabool,0.003
2012,Barrakee,0.003
2012,Barramunga,0.001
2012,Barrys Reef,0.001
2012,Barwite,0.002
2012,Barwon Downs,0.007
2012,Barwon Heads,0.331
2012,Basalt,0.002
2012,Bass,0.049
2012,Batesford,0.015
2012,Baw Baw,0.004
2012,Baxter,0.154
2012,Bayindeen,0.002
2012,Bayles,0.01
2012,Baynton,0.001
2012,Bayswater,1.06
2012,Bayswater North,0.563
2012,Beaconsfield,0.284
2012,Beaconsfield Upper,0.138
2012,Bealiba,0.016
2012,Bearii,0.007
2012,Bears Lagoon,0.004
2012,Beaufort,0.088
2012,Beaumaris,0.342
2012,Beazleys Bridge,0.002
2012,Beeac,0.01
2012,Beech Forest,0.008
2012,Beechworth,0.13
2012,Belgrave,0.285
2012,Belgrave Heights,0.028
2012,Belgrave South,0.055
2012,Bell Park,0.318
2012,Bell Post Hill,0.242
2012,Bellarine,0.013
2012,Bellbrae,0.01
2012,Bellbridge,0.014
2012,Bellfield,0.128
2012,Bells Beach,0.009
2012,Belmont,0.975
2012,Bemm River,0.004
2012,Bena,0.004
2012,Benalla,0.834
2012,Benambra,0.008
2012,Bend Of Islands,0.003
2012,Bendigo,2.131
2012,Bengworden,0.001
2012,Benjeroop,0.004
2012,Benloch,0.008
2012,Bentleigh,0.741
2012,Bentleigh East,0.723
2012,Beremboke,0.002
2012,Berrimal,0.001
2012,Berringa,0.005
2012,Berriwillock,0.003
2012,Berrybank,0.005
2012,Berrys Creek,0.002
2012,Berwick,1.722
2012,Bessiebelle,0.009
2012,Bet Bet,0.02
2012,Bethanga,0.009
2012,Beulah,0.033
2012,Beverford,0.003
2012,Beveridge,0.069
2012,Big Hill,0.006
2012,Biggara,0.001
2012,Birchip,0.035
2012,Birchip West,0.001
2012,Birdwoodton,0.015
2012,Birregurra,0.024
2012,Bittern,0.105
2012,Black Hill,0.186
2012,Black Range,0.002
2012,Black Rock,0.197
2012,Blackburn,0.589
2012,Blackburn North,0.172
2012,Blackburn South,0.284
2012,Blackwood,0.011
2012,Blairgowrie,0.106
2012,Blampied,0.007
2012,Blind Bight,0.058
2012,Blowhard,0.005
2012,Bo Peep,0.002
2012,Bochara,0.003
2012,Boho South,0.001
