suburb,postcode,type,elevation,population,median_income,sqkm,lat,lng,Dist_CBD,Dist_Geelong,Dist_Ballarat
Tawonga,3697,Urban locality,976,574,27040,140.615,-36.6721,147.20511,235.60013805851835,300.9658029851875,313.6632288030025
Bright,3741,Urban locality,710,2406,29900,131.738,-36.69513,147.03141,221.3316426535127,286.7553329235038,298.2112789277064
Tawonga South,3698,Urban locality,673,862,31460,48.835,-36.76535,147.13973,225.1066456280301,290.3918633703495,304.83019411153816
Porepunkah,3740,Urban locality,406,941,30576,68.493,-36.68011,146.91838,214.12584553371565,279.5636148828239,289.3329926755943
Mount Beauty,3699,Urban locality,822,824,27196,53.8,-36.74866,147.22372,232.452782110881,297.6935237071397,312.5214585675061
Glen Creek,3691,Rural locality,505,54,38636,40.11,-36.43712,146.93761,232.5562894950052,297.7546489864508,301.5048423975662
Harrietville,3741,Urban locality,758,338,31408,116.96,-36.91085,147.05583,210.45928547608105,275.51118342504617,293.06133842713723
Falls Creek,3699,Rural locality,1616,293,41392,167.745,-36.87898,147.24275,226.75446336628485,291.64747451145905,310.0310171808053
Dederang,3691,Rural locality,323,167,30940,76.615,-36.47401,147.00344,234.3172483001956,299.6406154394125,305.1246827870384
Kergunyah South,3691,Rural locality,250,58,39624,29.812,-36.43679,147.02577,238.5181947753019,303.8122609807824,308.66114745152714
Gundowring,3691,Rural locality,251,214,46020,91.376,-36.37533,147.07731,246.47654643533727,311.7329693645611,315.74737014548845
Upper Gundowring,3691,Rural locality,744,99,31512,68.868,-36.51652,147.10974,238.73484391204272,304.15619740754306,311.947051645649
Smoko,3741,Rural locality,416,46,19656,73.04,-36.82196,147.06696,216.29005370450227,281.5396973681736,296.7608885991878
Hotham Heights,3741,Rural locality,1455,196,44668,376.817,-36.99923,147.16969,214.9294032951599,279.4875564076109,300.4768376732293
Wongungarra,3862,Rural locality,436,0,0,494.466,-37.25434,147.05121,194.3574799669032,257.6568440981557,285.00114622068384
Wonnangatta,3737,Rural locality,700,0,0,177.16,-37.13219,146.78311,177.61079164899778,242.27958341593575,263.8306500408915
Dargo,3862,Rural locality,417,99,19604,991.806,-37.32238,147.30201,213.2694952597793,275.40458540996,306.1169933246441
Cobungra,3898,Rural locality,1269,53,26988,182.476,-37.07965,147.36801,227.4654918171946,291.236411310164,315.8587288046369
Selwyn,3737,Rural locality,1457,0,0,371.365,-37.06407,146.99993,198.22429182887976,262.7990882896225,284.19891127357926
Dinner Plain,3898,Rural locality,1395,230,47684,26.213,-37.03318,147.27395,221.7662787435177,285.9742597783046,308.69803438810527
Mount Buffalo,3740,Rural locality,1390,0,0,205.317,-36.72777,146.7775,200.91044706789356,266.3352499014826,275.7120706193007
Coral Bank,3691,Rural locality,268,83,24232,19.091,-36.61979,147.10856,231.78493561917716,297.2205541056798,307.57519071771463
