suburb,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Abbeyard,2,3,0,4,0,1,0,3,0,1
Abbotsford,904,747,1183,1175,1610,1362,1467,1596,1648,1460
Aberfeldie,122,113,159,112,185,154,148,126,162,132
Acheron,1,11,3,4,1,3,9,3,5,4
Adams Estate,3,0,1,0,3,2,2,1,15,13
Addington,5,0,0,0,1,2,4,0,0,0
Adelaide Lead,3,7,0,0,1,0,3,5,2,0
Agnes,8,1,2,0,0,4,0,0,3,1
Aireys Inlet,47,31,32,37,32,42,25,18,28,21
Airly,2,4,10,4,0,2,2,0,4,1
Airport West,796,824,870,1237,935,999,1125,1019,956,764
Albacutya,7,0,0,0,0,0,0,0,0,0
Albanvale,339,318,397,360,407,318,423,478,460,416
Albert Park,503,520,403,486,616,825,581,623,594,556
Alberton,12,13,6,8,6,13,14,9,14,16
Alberton West,11,2,11,1,2,6,1,1,2,19
Albion,555,473,430,530,522,482,575,471,474,462
Alexandra,127,111,158,176,133,129,159,119,134,187
Alfredton,312,329,289,400,526,500,579,431,424,573
Allambee,1,3,4,0,1,1,2,2,0,6
Allambee Reserve,1,2,0,2,1,2,0,4,5,7
Allans Flat,3,1,3,1,4,3,3,20,2,1
Allansford,29,38,37,43,22,31,32,66,64,60
Allendale,4,6,10,4,9,1,8,0,3,1
Allestree,4,13,6,3,4,5,2,3,4,5
Alma,3,2,2,0,11,3,2,14,12,3
Almurta,1,1,5,5,6,3,2,3,7,37
Alphington,263,214,317,235,321,424,274,236,293,251
Altona,899,811,803,814,722,746,720,817,657,798
Altona Meadows,983,909,1025,982,980,950,874,1073,1017,926
Altona North,1112,1209,1171,1293,1350,1264,1088,1155,1244,914
Alvie,4,1,3,1,14,6,11,4,8,0
Amor,1,0,0,0,0,0,0,2,0,0
Amphitheatre,4,9,24,38,9,12,14,11,38,8
Anakie,24,36,22,30,20,58,37,34,34,36
Ancona,3,3,2,5,2,0,9,12,5,6
Anderson,12,8,5,5,6,3,3,4,2,15
Anglers Rest,3,0,0,3,16,1,0,5,4,0
Anglesea,123,147,98,99,190,91,121,93,172,189
Annuello,1,0,0,1,3,0,0,0,2,1
Antwerp,1,0,0,0,0,5,9,9,0,0
Apollo Bay,127,147,138,120,124,127,133,109,105,131
Appin South,1,0,2,1,0,0,0,0,0,1
Apsley,10,2,8,5,2,8,12,29,15,18
Ararat,974,1228,851,993,1080,1137,1161,1115,1182,1727
Arawata,3,1,1,0,0,2,1,4,1,8
Arcadia,7,11,19,5,13,14,10,12,14,7
Arcadia South,2,1,1,0,4,1,4,11,15,10
Archdale,2,1,0,2,8,5,1,2,0,0
Archies Creek,5,4,3,0,43,8,0,1,0,1
Ardeer,535,573,324,332,381,290,340,387,328,314
Ardmona,24,13,33,34,45,47,27,49,65,31
Argyle,3,1,0,1,1,4,2,7,11,11
Armadale,440,500,453,538,600,588,655,595,679,484
Armstrong,1,5,5,15,5,10,6,12,25,11
Armstrong Creek,9,8,38,32,142,153,237,294,372,300
Arnold,4,3,0,2,3,7,0,13,8,5
Arthurs Creek,10,10,12,10,6,7,26,8,36,17
Arthurs Seat,6,16,22,39,20,28,34,19,37,46
Ascot,37,34,37,65,77,78,61,89,107,85
Ascot Vale,1464,1191,1212,1186,1475,1389,1312,1219,1581,1300
Ashbourne,4,3,1,10,11,2,5,3,4,7
Ashburton,324,404,490,404,479,440,371,492,660,596
Ashwood,264,264,362,393,765,568,451,563,754,867
Aspendale,301,203,305,288,265,329,224,383,404,350
